rank,paper_id,extraction_timestamp,new_count,cumulative_count,in_final_window
183,doi:10.1145/3643991.3645084,2026-04-17T09:20:23.592877+00:00,2,483,False
184,doi:10.1145/3661145,2026-04-17T09:20:36.794622+00:00,2,485,False
185,doi:10.1145/3661167.3661172,2026-04-17T09:20:44.773637+00:00,1,486,False
186,doi:10.1145/3661167.3661183,2026-04-17T09:20:53.916159+00:00,3,489,False
187,doi:10.1145/3655693.3655701,2026-04-17T09:20:57.861397+00:00,1,490,False
188,doi:10.1145/3653718,2026-04-17T09:21:02.154281+00:00,4,494,False
189,doi:10.1145/3639477.3643648,2026-04-17T09:21:05.926664+00:00,1,495,False
190,doi:10.1145/3638247,2026-04-17T09:21:06.035785+00:00,1,496,False
191,doi:10.1109/tse.2024.3392499,2026-04-17T09:21:06.584841+00:00,4,500,False
192,doi:10.1145/3597503.3608137,2026-04-17T09:21:15.646795+00:00,3,503,False
193,doi:10.1145/3597503.3608128,2026-04-17T09:21:17.681325+00:00,2,505,False
194,doi:10.1145/3597503.3639201,2026-04-17T09:21:22.457979+00:00,4,509,False
195,doi:10.1145/3597503.3639180,2026-04-17T09:21:36.009597+00:00,0,509,False
196,doi:10.1145/3613905.3650764,2026-04-17T09:21:36.255641+00:00,2,511,False
197,doi:10.1145/3613904.3642016,2026-04-17T09:21:36.739085+00:00,1,512,False
198,doi:10.1145/3597503.3639154,2026-04-17T09:21:40.074824+00:00,5,517,False
199,doi:10.1145/3651990,2026-04-17T09:21:44.471414+00:00,1,518,False
200,doi:10.1145/3613905.3650844,2026-04-17T09:21:49.865814+00:00,3,521,False
201,doi:10.1145/3613905.3650756,2026-04-17T09:21:52.452270+00:00,3,524,False
202,doi:10.3390/electronics13091644,2026-04-17T09:22:06.172022+00:00,1,525,False
203,doi:10.1109/tse.2024.3364675,2026-04-17T09:22:31.621249+00:00,3,528,False
204,doi:10.1145/3644815.3644949,2026-04-17T09:22:32.605272+00:00,4,532,False
205,doi:10.1145/3644815.3644950,2026-04-17T09:22:38.403356+00:00,3,535,False
206,doi:10.1145/3644815.3644945,2026-04-17T09:22:38.654655+00:00,4,539,False
207,doi:10.1145/3626252.3630909,2026-04-17T09:22:50.879648+00:00,5,544,False
208,doi:10.14569/ijacsa.2024.0150168,2026-04-17T09:23:05.766255+00:00,2,546,False
209,doi:10.1109/spaccs63173.2024.00012,2026-04-17T09:23:10.168854+00:00,2,548,False
210,doi:10.1109/icsme58944.2024.00045,2026-04-17T09:23:16.271462+00:00,3,551,False
211,doi:10.1109/icei64305.2024.10912343,2026-04-17T09:23:17.569343+00:00,2,553,False
212,doi:10.5220/0012631600003687,2026-04-17T09:23:38.659020+00:00,1,554,False
213,doi:10.1109/compsac61105.2024.00252,2026-04-17T09:23:46.843240+00:00,4,558,False
214,doi:10.3389/fcomp.2024.1473870,2026-04-17T09:23:47.127027+00:00,1,559,False
215,doi:10.1109/tse.2024.3428972,2026-04-17T09:23:49.578528+00:00,2,561,False
216,doi:10.1109/ieem62345.2024.10857157,2026-04-17T09:23:53.370888+00:00,0,561,False
217,doi:10.28945/5362,2026-04-17T09:24:02.612540+00:00,1,562,False
218,doi:10.1109/cog60054.2024.10645540,2026-04-17T09:24:06.187998+00:00,3,565,False
219,doi:10.1109/tse.2024.3406718,2026-04-17T09:24:19.385647+00:00,1,566,False
220,doi:10.54364/aaiml.2024.44171,2026-04-17T09:24:31.191578+00:00,2,568,False
221,doi:10.1109/compsac65507.2025.00161,2026-04-17T11:34:46.363609+00:00,0,568,False
222,doi:10.1080/10447318.2023.2269006,2026-04-17T11:34:59.179577+00:00,1,569,False
223,doi:10.1109/cseet62301.2024.10663055,2026-04-17T11:35:02.769892+00:00,1,570,False
224,doi:10.1109/tse.2024.3492204,2026-04-17T11:35:03.065999+00:00,3,573,False
225,doi:10.1109/cseet62301.2024.10662994,2026-04-17T11:35:03.363888+00:00,0,573,False
226,doi:10.1109/sp54263.2024.00046,2026-04-17T11:35:35.606378+00:00,3,576,False
227,doi:10.1109/cseet62301.2024.10663028,2026-04-17T11:35:43.214179+00:00,1,577,False
228,doi:10.1109/sse62657.2024.00046,2026-04-17T11:35:46.004971+00:00,3,580,False
229,doi:10.1109/tkde.2024.3436883,2026-04-17T11:35:54.537395+00:00,2,582,False
230,doi:10.18293/seke2024-123,2026-04-17T11:36:01.585240+00:00,1,583,False
231,doi:10.1109/icsme58944.2024.00063,2026-04-17T11:36:03.669187+00:00,2,585,False
232,doi:10.1109/apsec65559.2024.00017,2026-04-17T11:36:04.252109+00:00,2,587,False
233,doi:10.1109/icst60714.2024.00039,2026-04-17T11:36:05.977781+00:00,4,591,False
234,doi:10.1145/3611643.3616322,2026-04-17T11:36:24.744833+00:00,0,591,False
235,doi:10.1109/tbdata.2024.3524104,2026-04-17T11:36:25.998551+00:00,3,594,False
236,doi:10.1109/vl/hcc60511.2024.00011,2026-04-17T11:36:26.935528+00:00,1,595,False
237,doi:10.5815/ijitcs.2023.06.03,2026-04-17T11:36:33.797294+00:00,2,597,False
238,doi:10.1142/s0218194023410048,2026-04-17T11:36:37.920130+00:00,2,599,False
239,doi:10.1145/3600211.3604712,2026-04-17T11:36:40.794091+00:00,3,602,False
240,doi:10.1016/j.jss.2023.111734,2026-04-17T11:36:50.236639+00:00,3,605,False
241,doi:10.1145/3597926.3598067,2026-04-17T11:36:55.105468+00:00,2,607,False
242,doi:10.1109/icse48619.2023.00119,2026-04-17T11:36:56.214568+00:00,1,608,False
243,doi:10.1145/3593434.3593468,2026-04-17T11:37:05.234599+00:00,2,610,False
244,doi:10.1109/apsec60848.2023.00085,2026-04-17T11:37:11.236604+00:00,2,612,False
245,doi:10.1109/ase56229.2023.00089,2026-04-17T11:37:17.246014+00:00,1,613,False
246,doi:10.1109/csce60160.2023.00169,2026-04-17T11:37:18.489673+00:00,2,615,False
247,doi:10.1109/c358072.2023.10436306,2026-04-17T11:37:26.755878+00:00,0,615,False
248,doi:10.18293/seke2023-077,2026-04-17T11:37:31.613084+00:00,4,619,False
249,doi:10.1109/icstw58534.2023.00078,2026-04-17T11:37:32.480416+00:00,4,623,False
